"PPTYP","Pension Plan Type","DTYP","Definition Type","CTYP","Contract Type","VAR","Variable","IND","Indicator","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUS","Australia","2008","2008","PC","Percentage","0","Units",,,93.39,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUS","Australia","2009","2009","PC","Percentage","0","Units",,,82.082,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUS","Australia","2010","2010","PC","Percentage","0","Units",,,88.983,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUS","Australia","2011","2011","PC","Percentage","0","Units",,,91.856,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUS","Australia","2012","2012","PC","Percentage","0","Units",,,90.535,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUS","Australia","2013","2013","PC","Percentage","0","Units",,,101.186,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUS","Australia","2014","2014","PC","Percentage","0","Units",,,108.567,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUS","Australia","2015","2015","PC","Percentage","0","Units",,,118.196,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUS","Australia","2016","2016","PC","Percentage","0","Units",,,120.89,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUS","Australia","2017","2017","PC","Percentage","0","Units",,,132.401,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUS","Australia","2018","2018","PC","Percentage","0","Units",,,137.864,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUT","Austria","2008","2008","PC","Percentage","0","Units",,,4.271,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUT","Austria","2009","2009","PC","Percentage","0","Units",,,4.882,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUT","Austria","2010","2010","PC","Percentage","0","Units",,,5.143,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUT","Austria","2011","2011","PC","Percentage","0","Units",,,4.761,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUT","Austria","2012","2012","PC","Percentage","0","Units",,,5.117,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUT","Austria","2013","2013","PC","Percentage","0","Units",,,5.635,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUT","Austria","2014","2014","PC","Percentage","0","Units",,,5.755,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUT","Austria","2015","2015","PC","Percentage","0","Units",,,5.975,,
"APLANS","Total, by pension plan type","ADEF","Total, by definition type","PF","Pension funds (autonomous)","1000","INVESTMENT","GDP","Assets as a Share of GDP","AUT","Austria","2016","2016","PC","Percentage","0","Units",,,5.853,,
